Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,2,3,1,54,76,180,300,1,5
2,1,0,1,1,3,1,35,92,60,180,3,5
3,1,0,1,1,3,1,17,41,60,180,2,5
4,1,0,1,2,3,1,6,71,60,180,2,5
5,1,0,1,1,3,1,52,65,60,180,3,5
6,1,0,1,2,3,2,62,91,60,180,1,5
7,1,0,1,1,3,2,63,66,60,180,2,5
8,1,0,1,2,3,2,40,93,420,540,3,5
9,1,0,1,1,3,2,24,70,60,180,4,5
10,1,0,1,1,3,2,81,24,60,180,1,5
11,6,453,7,1,3,2,65,96,60,180,1,5
12,9,392,9,2,3,1,81,80,420,540,2,5
13,4,442,6,1,3,1,13,39,180,300,1,5
14,14,542,15,2,3,2,65,37,60,180,1,5
15,4,238,4,2,3,2,36,95,420,540,1,5
16,11,427,12,1,3,1,86,73,180,300,2,5
17,8,302,8,2,3,2,13,37,420,540,1,5
18,6,357,6,2,3,1,44,96,420,540,4,5
19,6,194,6,2,3,1,36,45,300,600,1,5
20,2,481,3,1,3,1,7,36,0,300,3,5
21,1,91,1,1,3,2,9,17,180,300,3,5
22,10,206,10,2,3,1,38,73,300,420,4,5
23,10,244,10,2,3,1,36,54,300,420,3,5
24,8,591,9,1,3,1,86,84,60,180,3,5
25,3,521,4,2,3,1,60,62,420,540,2,5
26,13,361,13,2,3,2,66,12,420,540,1,5
27,4,87,4,2,3,2,80,73,180,300,1,5
28,8,557,9,1,3,1,61,61,60,180,4,5
29,2,576,4,1,3,1,70,29,180,300,2,5
30,9,495,10,1,3,2,76,1,0,300,1,5
31,7,10,7,2,3,1,70,77,60,180,4,5
32,6,351,6,2,3,2,75,66,420,540,4,5
33,7,495,9,1,3,2,76,95,60,180,3,5
34,14,392,14,2,3,2,35,56,420,540,4,5
35,11,452,13,1,3,1,99,7,60,180,4,5
36,5,2,5,1,3,1,17,50,60,180,1,5
37,7,265,7,2,3,1,49,45,300,600,4,5
38,6,98,7,1,3,2,80,29,0,300,1,5
39,2,369,3,2,3,2,77,37,180,300,4,5
40,2,453,3,1,3,2,31,14,60,180,4,5
41,11,545,13,2,3,1,43,100,300,600,4,5
42,9,527,11,1,3,1,95,7,60,180,2,5
43,4,447,6,2,3,1,57,85,60,180,2,5
44,11,41,11,1,3,2,97,83,60,180,2,5
45,8,405,9,2,3,1,49,85,60,180,4,5
46,11,149,12,2,3,2,63,61,180,300,4,5
47,6,443,7,2,3,2,35,65,60,180,1,5
48,8,39,8,1,3,1,26,57,60,180,2,5
49,8,299,8,2,3,1,88,72,420,540,2,5
50,6,377,7,2,3,2,18,28,0,300,4,5
51,11,32,11,1,3,2,53,79,60,180,1,5
52,1,288,1,2,3,2,71,24,420,540,1,5
53,8,122,9,2,3,2,25,11,0,300,4,5
54,8,432,9,1,3,1,50,45,180,300,3,5
55,5,508,6,1,3,2,87,77,60,180,1,5
56,11,63,11,2,3,2,2,87,180,300,3,5
57,14,236,14,2,3,2,14,26,300,600,2,5
58,4,343,4,2,3,1,88,33,420,540,3,5
59,12,181,12,2,3,2,32,47,420,540,2,5
60,1,397,2,1,3,2,8,22,60,180,1,5
61,1,122,1,1,3,2,40,82,180,300,1,5
62,6,449,7,1,3,2,39,5,0,300,3,5
63,1,42,1,1,3,2,57,67,60,180,3,5
64,11,64,11,1,3,1,65,87,180,300,3,5
65,5,557,7,1,3,2,97,15,180,300,1,5
66,8,48,8,1,3,1,59,18,60,180,2,5
67,4,195,5,1,3,2,90,64,60,180,3,5
68,3,440,4,2,3,1,93,8,60,180,1,5
69,8,174,8,1,3,1,87,13,180,300,2,5
70,8,301,8,2,3,2,85,3,420,540,3,5
71,1,500,3,1,3,1,25,61,0,300,3,5
72,4,79,5,1,3,1,27,43,180,300,4,5
73,9,203,10,1,3,1,17,62,180,300,2,5
74,5,118,5,2,3,2,54,14,420,540,4,5
75,14,501,16,2,3,2,91,89,180,300,2,5
76,12,74,12,1,3,2,28,18,180,300,3,5
77,6,404,6,2,3,1,30,2,420,540,3,5
78,14,459,16,1,3,1,68,100,60,180,3,5
79,7,33,8,1,3,1,73,13,180,300,2,5
80,2,241,2,2,3,1,65,48,300,600,2,5
81,2,143,3,1,3,2,59,6,180,300,4,5
82,8,491,9,1,3,1,17,73,60,180,3,5
83,12,545,13,1,3,2,59,70,0,300,4,5
84,1,356,2,1,3,2,39,90,0,300,1,5
85,4,594,5,1,3,1,11,31,180,300,1,5
86,12,320,12,2,3,1,22,32,420,540,1,5
87,9,188,9,2,3,2,58,57,300,600,4,5
88,6,309,6,2,3,1,18,52,420,540,2,5
89,13,462,14,1,3,1,21,56,60,180,2,5
90,5,478,7,2,3,1,20,83,0,300,3,5
91,1,51,2,2,3,2,30,31,420,540,3,5
92,3,247,4,2,3,2,19,1,420,540,3,5
93,2,231,3,1,3,1,51,30,180,300,2,5
94,13,289,14,2,3,2,35,16,0,300,4,5
95,9,364,9,2,3,1,8,42,420,540,1,5
96,3,300,3,2,3,2,32,43,300,600,1,5
97,2,329,3,2,3,1,18,72,0,300,4,5
98,3,339,3,2,3,2,63,82,420,540,4,5
99,6,366,7,2,3,1,13,28,60,180,2,5
100,5,41,6,2,3,1,48,90,300,420,4,5
101,13,533,15,1,3,1,73,59,180,300,4,5
102,9,283,9,2,3,2,15,81,420,540,1,5
103,3,188,4,2,3,1,42,71,420,540,4,5
104,4,23,4,1,3,1,7,73,60,180,2,5
105,5,220,5,2,3,2,83,4,420,540,3,5
106,2,397,3,1,3,2,76,58,60,180,1,5
107,3,173,3,1,3,2,42,5,180,300,4,5
108,5,393,5,2,3,2,84,53,420,540,1,5
109,1,382,2,2,3,1,35,75,60,180,1,5
110,13,257,14,1,3,2,94,82,0,300,4,5
111,1,481,3,2,3,2,83,37,0,300,1,5
112,1,553,2,1,3,1,32,23,60,180,2,5
113,9,540,11,2,3,2,30,52,180,300,4,5
114,5,397,6,2,3,2,27,18,300,600,4,5
115,8,296,8,2,3,2,25,28,420,540,1,5
116,5,219,6,2,3,1,7,79,60,180,4,5
117,8,593,10,2,3,2,14,6,0,300,4,5
118,8,363,8,2,3,1,45,78,420,540,4,5
119,9,535,10,1,3,2,64,83,60,180,1,5
120,13,450,14,1,3,1,49,65,60,180,3,5
121,10,73,10,2,3,2,7,73,180,300,1,5
122,9,504,10,1,3,1,56,90,0,300,4,5
123,11,85,11,2,3,2,32,91,420,540,1,5
124,7,292,7,2,3,2,100,93,420,540,3,5
125,5,305,6,1,3,1,59,81,60,180,2,5
126,7,54,8,1,3,2,81,78,60,180,4,5
127,10,452,11,2,3,1,11,24,300,600,3,5
128,13,123,14,2,3,1,89,40,300,420,1,5
129,4,230,5,2,3,1,81,62,60,180,2,5
130,4,559,5,1,3,2,38,7,60,180,4,5
131,10,56,11,1,3,2,15,66,0,300,4,5
132,3,371,3,2,3,2,35,83,420,540,2,5
133,13,371,14,1,3,2,86,100,60,180,4,5
134,5,126,5,2,3,2,27,64,300,600,1,5
135,11,300,11,2,3,2,97,36,420,540,4,5
136,13,35,13,1,3,2,43,34,60,180,2,5
137,3,370,3,2,3,2,58,83,420,540,3,5
138,3,555,5,1,3,2,82,82,0,300,2,5
139,9,142,10,1,3,1,73,48,0,300,4,5
140,2,225,2,2,3,1,72,93,300,600,4,5
141,5,376,6,1,3,1,77,11,180,300,2,5
142,9,474,11,2,3,1,32,69,60,180,3,5
143,4,86,4,2,3,1,30,36,420,540,2,5
144,1,118,1,1,3,2,79,45,180,300,4,5
145,3,83,4,1,3,2,22,8,0,300,1,5
146,14,204,16,1,3,1,57,81,0,300,2,5
147,14,121,14,2,3,1,98,67,300,420,3,5
148,9,440,11,2,3,2,66,75,420,540,2,5
149,2,506,4,1,3,1,13,90,0,300,3,5
150,2,59,2,1,3,2,4,48,60,180,1,5
151,8,354,8,2,3,2,23,39,420,540,4,5
152,5,385,5,2,3,2,11,45,420,540,3,5
153,4,207,5,2,3,2,87,98,300,600,3,5
154,7,61,7,2,3,1,83,89,420,540,3,5
155,5,74,5,2,3,1,70,33,420,540,1,5
156,14,451,16,1,3,2,66,83,0,300,3,5
157,4,306,4,2,3,2,19,21,420,540,4,5
158,8,546,9,1,3,1,92,4,0,300,3,5
159,10,7,10,2,3,2,64,23,300,600,1,5
160,5,20,6,2,3,2,21,86,60,180,4,5
161,12,410,12,2,3,1,98,79,420,540,3,5
162,12,49,13,1,3,1,65,18,180,300,2,5
163,11,238,11,2,3,1,46,48,300,420,4,5
164,11,33,12,1,3,2,5,4,180,300,2,5
165,11,434,13,2,3,2,51,95,0,300,3,5
