Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,1,3,1,71,25,60,180,1,5
2,1,0,1,2,3,1,1,14,0,300,1,5
3,1,0,1,2,3,1,41,17,300,420,1,5
4,1,0,1,1,3,1,86,97,60,180,3,5
5,1,0,1,2,3,1,9,1,180,300,3,5
6,1,0,1,2,3,2,85,26,0,300,4,5
7,1,0,1,2,3,2,69,96,300,420,3,5
8,1,0,1,1,3,2,6,16,60,180,2,5
9,1,0,1,2,3,2,65,43,420,540,1,5
10,1,0,1,2,3,2,32,97,300,600,1,5
11,7,165,8,1,3,2,32,36,0,300,4,5
12,1,420,2,2,3,2,77,56,60,180,4,5
13,13,491,14,2,3,2,3,10,420,540,1,5
14,13,590,14,2,3,1,93,96,300,600,3,5
15,2,425,4,2,3,2,56,17,0,300,4,5
16,7,73,7,1,3,2,62,95,180,300,2,5
17,6,113,7,2,3,2,52,1,300,600,1,5
18,5,411,6,2,3,1,81,67,60,180,4,5
19,7,178,7,1,3,1,10,0,180,300,4,5
20,2,389,2,2,3,1,47,71,420,540,1,5
21,12,305,13,2,3,1,78,44,60,180,4,5
22,13,388,13,2,3,1,20,72,420,540,1,5
23,3,220,3,2,3,1,100,59,300,420,1,5
24,8,507,9,2,3,2,92,36,60,180,3,5
25,3,116,3,2,3,2,70,62,300,420,1,5
26,2,49,4,2,3,1,29,1,60,180,1,5
27,13,247,14,2,3,2,29,56,60,180,1,5
28,2,434,3,1,3,2,30,1,60,180,4,5
29,14,71,16,1,3,1,92,99,180,300,2,5
30,6,411,7,2,3,1,37,29,300,600,3,5
31,4,99,4,1,3,1,4,27,180,300,1,5
32,1,223,1,2,3,2,10,77,420,540,1,5
33,6,559,7,2,3,1,85,42,60,180,2,5
34,4,516,5,1,3,2,18,21,0,300,1,5
35,10,107,10,1,3,1,62,7,180,300,3,5
36,11,529,13,1,3,1,37,95,0,300,2,5
37,8,528,10,2,3,2,47,79,420,540,1,5
38,8,56,8,2,3,2,29,45,60,180,1,5
39,13,83,14,2,3,1,29,82,60,180,1,5
40,6,180,7,1,3,1,51,17,180,300,2,5
41,12,3,12,1,3,1,76,16,60,180,3,5
42,12,466,13,2,3,2,86,71,60,180,4,5
43,14,321,14,2,3,2,31,53,420,540,3,5
44,11,292,12,1,3,2,55,92,60,180,2,5
45,8,538,9,2,3,1,17,59,420,540,4,5
46,9,443,10,2,3,1,45,49,420,540,1,5
47,1,401,1,2,3,1,85,14,420,540,4,5
48,6,506,7,2,3,2,36,97,300,420,4,5
49,8,447,10,1,3,2,59,91,180,300,1,5
50,8,374,8,2,3,2,93,17,420,540,1,5
51,11,486,12,1,3,2,60,48,180,300,3,5
52,8,356,8,2,3,2,82,31,420,540,1,5
53,3,73,4,1,3,2,15,49,180,300,1,5
54,9,314,9,2,3,1,91,42,420,540,4,5
55,11,92,12,2,3,1,46,49,60,180,4,5
56,5,300,5,2,3,2,46,49,420,540,2,5
57,8,563,9,2,3,1,42,57,0,300,3,5
58,1,519,3,1,3,1,56,39,0,300,2,5
59,11,491,12,2,3,2,24,86,60,180,4,5
60,13,333,14,2,3,2,2,86,60,180,1,5
61,3,60,5,2,3,1,63,59,60,180,1,5
62,13,56,14,1,3,1,1,71,0,300,1,5
63,3,507,5,2,3,1,87,93,300,420,1,5
64,4,490,5,2,3,2,40,87,0,300,2,5
65,11,240,11,2,3,1,22,57,300,600,4,5
66,10,270,11,2,3,1,32,81,0,300,4,5
67,13,512,14,2,3,1,98,77,420,540,1,5
68,2,176,3,2,3,2,44,48,180,300,1,5
69,11,314,11,2,3,2,4,72,420,540,3,5
70,7,548,8,2,3,1,52,59,0,300,1,5
71,2,402,2,2,3,2,51,80,420,540,2,5
72,10,378,10,2,3,1,61,76,420,540,3,5
73,14,486,16,2,3,1,81,29,300,600,3,5
74,1,314,1,2,3,1,15,86,420,540,3,5
75,13,570,15,2,3,1,91,98,0,300,2,5
76,11,588,12,1,3,2,99,97,60,180,2,5
77,6,248,7,2,3,1,0,20,0,300,1,5
78,10,138,10,2,3,2,10,74,180,300,2,5
79,6,534,8,2,3,2,54,63,180,300,2,5
80,5,449,7,2,3,2,62,81,180,300,4,5
81,12,141,13,2,3,1,67,31,300,420,4,5
82,8,432,10,1,3,2,15,23,180,300,4,5
83,9,162,11,2,3,2,43,62,0,300,3,5
84,14,237,14,2,3,2,45,98,300,600,2,5
85,11,536,12,1,3,1,99,88,180,300,2,5
86,5,100,6,2,3,2,50,40,420,540,4,5
87,1,509,2,1,3,1,0,20,0,300,3,5
88,7,51,7,2,3,2,71,79,0,300,1,5
89,11,14,12,2,3,2,86,88,0,300,1,5
90,14,129,15,2,3,1,70,62,420,540,3,5
91,2,144,2,1,3,1,85,61,180,300,3,5
92,6,14,6,1,3,2,91,58,60,180,1,5
93,4,27,4,2,3,1,25,76,300,420,3,5
94,5,535,7,1,3,1,35,46,180,300,3,5
95,6,172,6,2,3,1,49,34,300,420,3,5
96,14,551,16,1,3,2,14,82,0,300,3,5
97,14,206,14,2,3,1,77,48,300,420,4,5
98,11,486,13,1,3,1,97,96,180,300,4,5
99,6,137,6,2,3,2,15,53,180,300,2,5
100,1,43,1,2,3,2,96,98,0,300,3,5
101,5,336,5,2,3,1,82,11,420,540,2,5
102,12,122,12,2,3,1,33,27,180,300,4,5
103,9,600,11,2,3,1,34,29,60,180,4,5
104,4,248,5,2,3,1,87,5,0,300,2,5
105,3,496,4,1,3,1,90,27,180,300,1,5
106,2,583,3,2,3,1,20,2,420,540,3,5
107,14,210,14,2,3,2,80,78,420,540,2,5
108,9,186,9,2,3,1,55,95,420,540,4,5
109,11,501,12,2,3,1,14,87,420,540,4,5
110,6,451,7,2,3,2,2,31,300,600,4,5
111,3,417,4,2,3,2,36,16,420,540,2,5
112,5,173,6,1,3,1,94,73,60,180,3,5
113,7,188,7,2,3,1,6,36,300,420,3,5
114,3,48,3,2,3,1,33,74,0,300,3,5
115,13,62,13,2,3,2,41,70,420,540,2,5
116,10,48,11,1,3,1,51,4,60,180,4,5
117,1,287,1,2,3,1,40,20,420,540,4,5
118,10,335,10,2,3,1,94,100,420,540,2,5
119,10,199,10,2,3,1,86,80,420,540,3,5
120,7,407,7,2,3,1,67,25,420,540,2,5
121,12,156,12,2,3,2,46,28,300,420,1,5
122,2,372,2,2,3,1,79,38,420,540,3,5
123,3,316,3,2,3,2,14,10,420,540,1,5
124,3,337,3,2,3,2,95,58,420,540,3,5
125,11,15,11,2,3,2,68,95,420,540,1,5
126,4,269,4,2,3,1,11,5,300,600,1,5
127,13,368,13,2,3,2,8,38,420,540,1,5
128,9,304,10,2,3,1,77,8,0,300,4,5
129,11,4,11,2,3,2,70,84,0,300,3,5
130,1,424,3,2,3,2,58,60,0,300,1,5
131,8,44,8,1,3,2,52,46,60,180,2,5
132,12,514,14,2,3,2,20,11,0,300,2,5
133,2,442,4,2,3,2,25,12,60,180,3,5
134,4,161,5,1,3,2,60,42,60,180,1,5
135,12,552,14,2,3,2,100,95,420,540,3,5
136,11,420,11,2,3,1,89,48,420,540,2,5
137,14,425,16,1,3,1,22,48,180,300,3,5
138,10,485,12,1,3,1,67,91,0,300,3,5
139,3,91,3,2,3,2,57,99,300,420,1,5
140,7,405,7,2,3,2,89,8,420,540,2,5
141,13,290,13,2,3,1,51,61,420,540,3,5
142,5,382,6,1,3,1,36,57,0,300,4,5
143,11,190,12,1,3,2,15,19,180,300,4,5
144,2,119,3,1,3,2,63,76,180,300,3,5
145,12,19,12,2,3,1,4,37,0,300,3,5
146,5,220,5,2,3,2,50,54,420,540,2,5
147,10,339,10,2,3,2,77,99,420,540,1,5
148,10,574,11,2,3,2,83,47,0,300,2,5
149,3,198,3,2,3,1,37,74,300,600,4,5
150,9,24,9,2,3,2,72,74,60,180,2,5
151,11,494,13,2,3,1,2,91,300,420,2,5
152,7,442,8,2,3,1,34,62,420,540,1,5
153,11,10,11,2,3,1,38,83,60,180,4,5
154,7,409,7,2,3,1,47,45,420,540,3,5
155,4,420,4,2,3,1,56,11,420,540,1,5
156,9,503,10,1,3,1,80,7,180,300,2,5
157,14,402,15,1,3,1,90,24,60,180,1,5
158,1,468,3,1,3,2,47,53,0,300,3,5
159,8,522,10,1,3,1,100,90,180,300,1,5
160,3,314,3,2,3,1,43,47,420,540,3,5
161,13,596,14,1,3,1,70,54,180,300,2,5
162,11,166,11,2,3,1,81,99,180,300,1,5
163,13,287,14,1,3,1,81,59,180,300,2,5
164,7,425,9,2,3,1,24,19,180,300,2,5
165,4,529,5,1,3,2,39,30,180,300,1,5
