Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,1,3,1,56,60,60,180,2,5
2,1,0,1,1,3,1,81,50,60,180,3,5
3,1,0,1,1,3,1,16,33,60,180,4,5
4,1,0,1,1,3,1,91,77,60,180,3,5
5,1,0,1,1,3,1,54,36,60,180,4,5
6,1,0,1,1,3,2,70,30,60,180,2,5
7,1,0,1,1,3,2,33,93,60,180,4,5
8,1,0,1,1,3,2,20,19,60,180,2,5
9,1,0,1,1,3,2,3,98,60,180,3,5
10,1,0,1,1,3,2,78,26,60,180,3,5
11,1,550,3,1,3,2,96,16,180,300,2,5
12,12,101,13,1,3,1,5,85,60,180,3,5
13,6,239,6,2,3,2,85,81,300,420,2,5
14,13,299,15,1,3,2,11,70,180,300,3,5
15,6,23,7,1,3,1,26,43,0,300,4,5
16,14,232,15,1,3,1,64,4,60,180,3,5
17,13,526,14,1,3,2,11,95,60,180,4,5
18,1,134,1,1,3,2,86,3,180,300,2,5
19,5,0,5,1,3,2,95,20,60,180,2,5
20,2,359,2,2,3,1,81,14,420,540,2,5
21,10,414,10,2,3,1,21,63,420,540,2,5
22,13,596,15,1,3,1,75,54,180,300,3,5
23,10,210,10,2,3,1,81,27,300,600,4,5
24,8,224,8,2,3,2,52,76,420,540,1,5
25,6,75,6,1,3,2,42,52,180,300,4,5
26,14,515,16,1,3,2,16,43,180,300,3,5
27,12,431,13,1,3,2,69,17,60,180,3,5
28,3,490,4,1,3,2,87,92,0,300,1,5
29,6,259,7,1,3,2,40,45,180,300,2,5
30,2,272,2,2,3,2,68,47,300,420,1,5
31,3,587,4,1,3,2,20,91,0,300,4,5
32,10,209,12,1,3,1,35,70,60,180,3,5
33,11,187,11,2,3,2,21,60,420,540,3,5
34,8,553,10,1,3,2,9,9,0,300,3,5
35,6,64,7,1,3,1,88,76,180,300,2,5
36,10,154,11,1,3,2,89,81,0,300,4,5
37,13,363,14,1,3,2,54,85,60,180,4,5
38,6,564,7,1,3,1,70,63,60,180,2,5
39,6,11,6,1,3,1,47,11,60,180,1,5
40,5,137,5,1,3,1,42,75,180,300,2,5
41,3,431,5,1,3,2,19,32,180,300,2,5
42,12,492,13,1,3,2,71,12,180,300,2,5
43,8,557,10,1,3,1,43,37,180,300,3,5
44,5,364,5,2,3,2,96,61,420,540,1,5
45,5,23,5,1,3,1,90,3,60,180,3,5
46,2,38,2,1,3,1,19,1,60,180,3,5
47,4,456,6,1,3,1,40,52,60,180,2,5
48,13,422,15,1,3,2,72,37,60,180,4,5
49,5,131,6,1,3,2,12,15,0,300,3,5
50,1,78,1,1,3,2,9,84,180,300,1,5
51,5,491,7,1,3,2,29,20,180,300,3,5
52,6,143,8,1,3,2,90,42,180,300,2,5
53,9,521,11,1,3,1,35,100,60,180,4,5
54,3,208,4,1,3,1,60,64,0,300,1,5
55,8,359,8,2,3,2,17,100,420,540,1,5
56,5,46,5,1,3,2,58,74,60,180,2,5
57,4,494,6,1,3,1,11,14,180,300,2,5
58,6,225,7,1,3,1,65,24,0,300,3,5
59,1,274,2,1,3,2,20,65,60,180,2,5
60,9,111,9,1,3,1,62,39,180,300,4,5
61,6,8,7,1,3,1,66,36,0,300,3,5
62,14,56,15,1,3,2,21,69,60,180,4,5
63,9,435,11,1,3,1,12,51,0,300,1,5
64,7,571,8,1,3,1,93,13,0,300,1,5
65,13,240,13,2,3,1,0,8,420,540,2,5
66,4,424,5,1,3,2,53,71,60,180,3,5
67,7,469,8,1,3,1,55,99,60,180,1,5
68,2,218,3,1,3,2,30,21,60,180,2,5
69,1,290,1,2,3,1,94,87,420,540,1,5
70,14,98,14,1,3,2,9,81,180,300,2,5
71,12,337,12,2,3,2,5,52,420,540,3,5
72,5,209,5,2,3,1,73,92,420,540,1,5
73,1,86,1,1,3,1,40,13,180,300,4,5
74,6,514,8,1,3,2,94,49,0,300,3,5
75,3,102,4,1,3,1,69,96,60,180,1,5
76,7,181,7,2,3,2,20,63,300,600,1,5
77,2,248,2,2,3,1,53,74,420,540,4,5
78,1,520,3,1,3,1,84,8,0,300,4,5
79,1,579,3,1,3,2,13,12,180,300,3,5
80,2,282,4,1,3,2,48,75,0,300,2,5
81,10,583,12,1,3,2,61,46,180,300,4,5
82,3,141,4,1,3,1,61,13,60,180,3,5
83,2,132,2,1,3,2,44,44,180,300,3,5
84,5,421,7,1,3,2,59,21,180,300,2,5
85,4,489,5,1,3,2,20,87,0,300,1,5
86,7,316,8,1,3,1,77,83,0,300,2,5
87,6,257,7,1,3,2,39,75,60,180,3,5
88,1,242,2,1,3,2,13,81,0,300,3,5
89,1,483,2,1,3,2,35,21,180,300,1,5
90,12,407,14,1,3,2,45,67,180,300,2,5
91,2,391,2,2,3,1,51,74,420,540,4,5
92,4,312,4,2,3,2,41,77,420,540,2,5
93,2,277,2,2,3,2,47,44,300,420,3,5
94,9,440,11,1,3,2,98,49,0,300,1,5
95,13,78,15,1,3,2,43,67,60,180,4,5
96,1,232,2,1,3,1,52,25,0,300,4,5
97,6,106,7,1,3,2,64,4,60,180,3,5
98,3,423,5,1,3,2,45,44,180,300,3,5
99,10,129,10,1,3,2,84,49,180,300,2,5
100,11,106,11,1,3,2,65,68,180,300,1,5
101,7,249,7,2,3,2,78,10,420,540,4,5
102,6,415,6,2,3,1,10,100,420,540,2,5
103,5,73,5,1,3,1,9,53,180,300,2,5
104,1,239,1,2,3,2,35,59,420,540,1,5
105,1,282,1,2,3,1,38,31,420,540,3,5
106,12,379,14,1,3,2,96,93,180,300,3,5
107,6,315,6,2,3,1,59,93,420,540,4,5
108,3,512,5,1,3,2,15,84,60,180,3,5
109,13,6,13,1,3,1,63,69,60,180,1,5
110,5,278,5,2,3,2,30,89,420,540,4,5
111,14,131,14,1,3,1,75,47,180,300,2,5
112,12,165,12,1,3,1,56,84,180,300,3,5
113,10,409,10,2,3,1,15,18,420,540,4,5
114,14,515,15,1,3,1,98,23,60,180,1,5
115,3,554,5,1,3,1,37,79,0,300,3,5
116,5,542,6,1,3,2,15,87,60,180,1,5
117,11,75,11,1,3,2,52,86,180,300,1,5
118,3,306,3,2,3,2,44,72,420,540,3,5
119,12,522,14,1,3,1,96,16,0,300,1,5
120,6,274,6,2,3,2,98,48,420,540,1,5
121,10,40,10,1,3,1,22,91,60,180,4,5
122,14,267,14,2,3,1,52,8,420,540,1,5
123,1,159,1,1,3,2,96,88,180,300,2,5
124,9,272,9,2,3,1,86,61,300,420,2,5
125,13,222,13,2,3,1,32,79,420,540,3,5
126,8,565,10,1,3,2,25,62,60,180,4,5
127,10,167,10,1,3,2,50,50,180,300,3,5
128,2,599,3,1,3,2,83,66,60,180,1,5
129,7,19,7,1,3,2,92,93,60,180,2,5
130,4,407,5,1,3,1,64,62,0,300,3,5
131,4,420,4,2,3,1,82,38,420,540,2,5
132,2,31,3,1,3,2,81,29,60,180,1,5
133,7,469,8,1,3,1,83,85,60,180,3,5
134,13,171,13,1,3,1,16,12,180,300,2,5
135,7,132,8,1,3,1,14,43,180,300,1,5
136,4,219,5,1,3,2,67,38,180,300,1,5
137,9,448,10,1,3,1,4,29,60,180,2,5
138,9,366,10,1,3,2,21,98,60,180,4,5
139,5,130,6,1,3,1,70,79,60,180,1,5
140,1,28,1,1,3,1,85,14,60,180,4,5
141,5,135,5,1,3,2,68,89,180,300,1,5
142,4,559,6,1,3,1,68,53,0,300,1,5
143,3,36,4,1,3,1,16,19,180,300,2,5
144,2,103,2,1,3,1,49,11,180,300,3,5
145,10,196,11,1,3,1,58,5,60,180,4,5
146,6,205,7,1,3,1,86,33,60,180,4,5
147,14,26,14,1,3,1,89,30,60,180,4,5
148,1,449,3,1,3,2,36,66,180,300,4,5
149,2,71,2,1,3,2,91,68,180,300,2,5
150,1,302,1,2,3,1,25,36,420,540,4,5
151,8,442,10,1,3,2,89,51,0,300,3,5
152,14,530,16,1,3,1,33,4,60,180,4,5
153,5,26,6,1,3,1,30,88,60,180,4,5
154,13,39,14,1,3,2,89,51,60,180,1,5
155,2,343,2,2,3,2,59,83,420,540,4,5
156,13,445,15,1,3,2,36,50,0,300,2,5
157,5,153,5,1,3,1,14,40,180,300,2,5
158,3,117,3,1,3,1,52,56,180,300,3,5
159,6,487,7,1,3,2,35,71,0,300,2,5
160,9,220,9,2,3,1,45,7,420,540,3,5
161,5,252,6,1,3,1,95,4,180,300,2,5
162,5,321,5,2,3,1,52,61,420,540,2,5
163,6,408,7,1,3,1,68,23,60,180,2,5
164,3,581,5,1,3,1,34,8,0,300,3,5
165,13,122,13,1,3,2,28,79,180,300,1,5
