Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,2,3,2,90,79,0,300,3,5
2,1,0,1,1,3,2,32,14,60,180,2,5
3,1,0,1,1,3,2,16,43,60,180,2,5
4,1,0,1,1,3,2,45,85,60,180,1,5
5,1,0,1,1,3,2,60,28,60,180,4,5
6,1,0,1,2,3,2,1,36,180,300,2,5
7,1,0,1,1,3,1,46,64,60,180,1,5
8,1,0,1,1,3,1,56,36,60,180,2,5
9,1,0,1,2,3,1,26,28,420,540,4,5
10,1,0,1,2,3,1,95,73,0,300,3,5
11,1,0,1,2,3,1,11,28,60,180,2,5
12,1,0,1,2,3,2,72,2,300,420,2,5
13,1,0,1,2,3,2,19,34,0,300,1,5
14,1,0,1,2,3,2,84,70,0,300,4,5
15,1,0,1,2,3,2,23,66,180,300,4,5
16,1,0,1,2,3,1,98,76,420,540,2,5
17,1,0,1,1,3,2,67,91,60,180,3,5
18,1,0,1,2,3,1,83,89,300,420,2,5
19,1,0,1,2,3,2,99,81,420,540,2,5
20,1,0,1,2,3,1,36,37,180,300,2,5
21,1,0,1,2,3,1,56,83,300,420,1,5
22,1,0,1,2,3,2,76,55,300,420,1,5
23,1,0,1,1,3,1,26,92,60,180,2,5
24,1,0,1,1,3,1,22,54,60,180,2,5
25,1,0,1,2,3,1,48,81,60,180,2,5
26,1,0,1,2,3,2,70,3,180,300,4,5
27,1,0,1,1,3,2,74,88,60,180,1,5
28,1,0,1,2,3,1,69,17,0,300,3,5
29,1,0,1,2,3,1,84,24,420,540,4,5
30,1,0,1,2,3,1,73,67,420,540,4,5
31,1,0,1,2,3,1,62,4,60,180,1,5
32,1,0,1,1,3,2,75,60,60,180,2,5
33,1,0,1,1,3,1,63,91,60,180,3,5
34,1,0,1,2,3,1,17,2,420,540,1,5
35,1,0,1,2,3,2,49,42,0,300,1,5
36,1,0,1,1,3,2,77,10,60,180,1,5
37,1,0,1,2,3,2,6,92,0,300,1,5
38,1,0,1,2,3,1,40,34,420,540,4,5
39,1,0,1,1,3,1,85,40,60,180,4,5
40,1,0,1,2,3,1,93,99,0,300,4,5
41,1,0,1,2,3,1,27,25,60,180,4,5
42,1,0,1,2,3,2,45,52,60,180,4,5
43,1,0,1,1,3,1,22,59,60,180,4,5
44,1,0,1,1,3,2,33,76,60,180,1,5
45,1,0,1,1,3,1,75,57,60,180,1,5
46,1,0,1,1,3,1,86,79,60,180,3,5
47,1,0,1,2,3,1,48,99,180,300,4,5
48,1,0,1,1,3,1,30,5,60,180,3,5
49,1,0,1,1,3,2,64,32,60,180,2,5
50,1,0,1,2,3,1,92,12,420,540,4,5
51,1,0,1,1,3,1,20,75,60,180,3,5
52,1,0,1,2,3,1,61,18,300,600,2,5
53,1,0,1,1,3,2,84,35,60,180,1,5
54,1,0,1,2,3,2,67,32,300,420,2,5
55,1,0,1,1,3,2,96,19,60,180,3,5
56,1,0,1,2,3,1,88,68,300,420,4,5
57,1,0,1,1,3,1,43,55,60,180,1,5
58,1,0,1,1,3,2,60,97,60,180,1,5
59,1,0,1,2,3,2,6,12,180,300,4,5
60,1,0,1,2,3,2,70,58,60,180,2,5
61,1,0,1,2,3,1,35,20,0,300,1,5
62,1,0,1,2,3,2,19,7,60,180,1,5
63,1,0,1,1,3,2,90,44,60,180,2,5
64,1,0,1,2,3,1,28,25,180,300,2,5
65,1,0,1,1,3,1,15,9,60,180,3,5
66,1,0,1,2,3,2,11,43,60,180,1,5
67,1,0,1,2,3,2,78,22,300,420,2,5
68,1,0,1,1,3,1,92,9,60,180,4,5
69,1,0,1,2,3,1,15,7,0,300,4,5
70,1,0,1,2,3,2,25,40,420,540,3,5
71,1,0,1,2,3,2,50,53,60,180,3,5
72,1,0,1,2,3,2,5,88,0,300,2,5
73,1,0,1,2,3,1,46,47,60,180,1,5
74,1,0,1,1,3,1,97,81,60,180,1,5
75,1,0,1,2,3,1,28,88,180,300,3,5
76,1,0,1,1,3,1,11,53,60,180,3,5
77,1,0,1,1,3,1,24,100,60,180,3,5
78,1,0,1,1,3,2,58,54,60,180,3,5
79,1,0,1,2,3,1,66,82,0,300,1,5
80,1,0,1,2,3,1,76,94,60,180,4,5
81,1,0,1,2,3,1,7,56,0,300,3,5
82,1,0,1,1,3,2,42,20,60,180,2,5
83,1,0,1,2,3,1,12,56,60,180,4,5
84,1,0,1,2,3,2,99,52,180,300,3,5
85,1,0,1,1,3,1,22,99,60,180,4,5
86,1,0,1,2,3,2,3,43,420,540,3,5
87,1,0,1,2,3,1,58,16,300,420,1,5
88,1,0,1,2,3,1,64,26,0,300,1,5
89,1,0,1,1,3,1,62,36,60,180,3,5
90,1,0,1,2,3,2,19,10,300,600,1,5
91,1,0,1,2,3,1,72,36,0,300,3,5
92,1,0,1,2,3,2,18,0,60,180,4,5
93,1,0,1,2,3,1,15,83,60,180,3,5
94,1,0,1,2,3,1,48,77,300,600,2,5
95,1,0,1,2,3,1,63,4,300,420,2,5
96,1,0,1,1,3,1,24,69,60,180,1,5
97,1,0,1,2,3,2,33,45,420,540,1,5
98,1,0,1,1,3,2,18,97,60,180,3,5
99,1,0,1,1,3,2,7,90,60,180,4,5
100,1,0,1,2,3,1,47,49,300,420,3,5
101,1,0,1,2,3,2,92,58,420,540,2,5
102,1,0,1,2,3,1,9,48,420,540,1,5
103,1,0,1,2,3,1,35,75,0,300,3,5
104,1,0,1,2,3,1,15,91,60,180,4,5
105,1,0,1,2,3,1,43,0,0,300,3,5
106,1,0,1,1,3,1,10,31,60,180,2,5
107,1,0,1,1,3,2,41,31,60,180,2,5
108,1,0,1,2,3,1,41,71,300,600,1,5
109,1,0,1,1,3,2,8,4,60,180,3,5
110,1,0,1,2,3,2,31,7,0,300,3,5
111,1,0,1,2,3,2,93,1,60,180,2,5
112,1,0,1,1,3,1,57,40,60,180,1,5
113,1,0,1,1,3,2,43,10,60,180,4,5
114,1,0,1,2,3,2,68,17,60,180,2,5
115,1,0,1,1,3,1,81,29,60,180,1,5
116,1,0,1,2,3,1,62,58,300,420,3,5
117,1,0,1,2,3,2,62,6,420,540,2,5
118,1,0,1,2,3,2,8,17,420,540,4,5
119,1,0,1,1,3,1,47,27,60,180,1,5
120,1,370,2,2,3,1,70,91,300,600,2,5
121,1,407,2,1,3,1,12,99,180,300,2,5
122,1,298,2,2,3,2,35,71,60,180,3,5
123,1,404,2,2,3,2,72,83,300,600,3,5
124,1,208,2,2,3,2,61,16,0,300,2,5
125,1,288,2,1,3,2,73,83,60,180,4,5
126,1,92,2,2,3,1,83,1,420,540,4,5
127,1,451,2,2,3,1,38,12,60,180,4,5
128,1,175,2,1,3,2,87,64,180,300,2,5
129,1,535,2,2,3,1,83,40,420,540,1,5
130,1,407,2,1,3,2,71,24,60,180,2,5
131,1,304,2,2,3,2,44,94,300,420,1,5
132,1,263,2,2,3,2,10,2,60,180,1,5
133,1,537,2,2,3,2,48,58,180,300,2,5
134,1,66,2,1,3,2,52,51,60,180,4,5
135,1,436,2,1,3,1,67,12,180,300,2,5
136,1,200,2,2,3,2,54,29,420,540,3,5
137,1,118,2,1,3,1,7,2,0,300,2,5
138,1,2,2,1,3,2,96,11,60,180,2,5
139,1,354,2,2,3,1,12,19,300,600,3,5
140,1,384,2,2,3,2,16,64,0,300,1,5
141,1,421,2,2,3,1,13,49,180,300,2,5
142,1,493,2,1,3,1,23,75,180,300,3,5
143,1,350,2,2,3,1,85,41,180,300,1,5
144,1,324,2,1,3,2,81,22,60,180,1,5
145,1,88,2,1,3,2,27,47,180,300,2,5
146,1,213,2,1,3,2,100,80,0,300,4,5
147,1,291,2,1,3,1,47,61,60,180,1,5
148,1,547,2,2,3,1,88,97,180,300,3,5
149,1,589,2,1,3,1,90,9,0,300,4,5
150,1,1,2,1,3,1,88,2,0,300,4,5
151,5,537,6,2,3,1,60,20,60,180,1,5
152,14,308,14,2,3,1,22,38,420,540,3,5
153,2,397,2,2,3,1,57,20,420,540,2,5
154,6,509,8,1,3,1,14,26,0,300,3,5
155,2,260,3,1,3,1,100,87,60,180,1,5
156,12,44,12,2,3,2,11,42,300,420,4,5
157,4,189,4,2,3,2,8,22,300,420,4,5
158,3,431,4,2,3,2,42,26,0,300,4,5
159,12,549,14,1,3,1,44,90,60,180,2,5
160,4,183,4,2,3,1,10,5,420,540,2,5
161,3,145,4,1,3,1,23,41,60,180,4,5
162,6,302,7,1,3,2,31,2,0,300,2,5
163,12,335,12,2,3,2,68,49,420,540,2,5
164,6,475,7,2,3,2,21,82,180,300,4,5
165,3,481,4,2,3,1,42,35,60,180,3,5
